id,email_subject,email_body,issue_type,sentiment_score,sentiment_label,resolution_status,status,created_at,updated_at
1,Double Charge on My Account,Hi there I noticed I was charged twice for my monthly subscription this month. This is really frustrating as I am on a fixed budget. Could you please look into this and process a refund as soon as possible?,Billing,-0.82,Negative,Resolved,pending,2024-01-01 08:30:00,2024-01-02 10:15:00
2,Cannot Login to My Account,I have been trying to log into my account for the past two days but keep getting an authentication error. I have already tried resetting my password three times but the problem persists. Please help me regain access.,Technical,-0.65,Negative,In Progress,pending,2024-01-02 09:15:00,2024-01-03 11:00:00
3,Thank You for the Amazing Support,I just wanted to say how impressed I am with your support team. My issue was resolved within a few hours and the agent was incredibly professional throughout the whole process.,General,0.95,Positive,Resolved,done,2024-01-03 10:00:00,2024-01-03 14:00:00
4,Refund Still Not Received,I returned my product two weeks ago and was told the refund would appear within five to seven business days. It has now been over two weeks and I still have not received anything.,Billing,-0.74,Negative,Pending,pending,2024-01-04 07:45:00,2024-01-05 09:30:00
5,Order Has Not Arrived,My order was supposed to arrive last Tuesday. It is now Friday and the tracking still shows it is in transit. I need this package urgently for a work event tomorrow.,Shipping,-0.58,Negative,In Progress,pending,2024-01-05 11:30:00,2024-01-06 08:00:00
6,Wrong Item Sent to Me,I ordered a large navy blue hoodie but received a small red t-shirt instead. This is not the first time this has happened. Please send the correct item and arrange a pickup for the wrong one.,Order,-0.61,Negative,Resolved,done,2024-01-06 14:00:00,2024-01-07 10:00:00
7,Password Reset Email Not Coming,I have clicked the forgot password button at least five times but the reset email never arrives. I have checked my spam folder too. I need access to my account urgently.,Technical,-0.43,Negative,Pending,pending,2024-01-07 08:00:00,2024-01-08 09:00:00
8,New App Update is Fantastic,I just wanted to share how much I love the latest update. The new dashboard is so much more intuitive and everything loads noticeably faster. Great work to the whole team!,General,0.97,Positive,Closed,done,2024-01-08 16:00:00,2024-01-08 17:00:00
9,Please Cancel My Subscription,I would like to cancel my subscription with immediate effect. Please confirm the cancellation and ensure that I will not be charged next month.,Billing,-0.31,Neutral,In Progress,pending,2024-01-09 09:00:00,2024-01-10 08:30:00
10,Two Items Missing from My Order,I received my package today but two of the five items were missing. The packing slip shows all five but only three were in the box. Please send the missing items as soon as possible.,Order,-0.72,Negative,Resolved,pending,2024-01-10 10:30:00,2024-01-11 09:00:00
11,App Keeps Crashing on iPhone,Your mobile app crashes every time I try to open my order history. I am using an iPhone 14 Pro with the latest iOS. This has been happening for three days.,Technical,-0.69,Negative,In Progress,pending,2024-01-11 13:00:00,2024-01-12 10:00:00
12,Absolutely Delighted with the Resolution,I am writing to express my gratitude for how quickly my billing issue was resolved. Your team kept me updated throughout and the refund was back in my account within 24 hours.,General,0.91,Positive,Resolved,done,2024-01-12 09:00:00,2024-01-12 11:00:00
13,Received a Damaged Product,The item I received was clearly damaged during shipping. The packaging was crushed and the product has a large crack. I have taken photos. Please arrange a replacement or full refund.,Shipping,-0.77,Negative,Pending,pending,2024-01-13 14:30:00,2024-01-14 08:00:00
14,Discount Code Not Working,I received a 20 percent discount code in your newsletter but it says invalid every time I apply it at checkout. I have tried on both the website and the app. The code is SAVE20JAN.,Billing,-0.39,Neutral,Resolved,done,2024-01-14 11:00:00,2024-01-14 15:00:00
15,When Will My Order Be Shipped,I placed my order six days ago and it still shows as processing. I have not received any shipping confirmation. Could you please give me an estimated dispatch date?,Shipping,-0.28,Neutral,In Progress,pending,2024-01-15 10:00:00,2024-01-16 09:00:00
16,Subscription Renewed Without My Permission,My subscription was automatically renewed this morning even though I cancelled it last month. I have the cancellation confirmation email. Please refund the charge immediately.,Billing,-0.88,Negative,Pending,pending,2024-01-16 08:45:00,2024-01-17 09:00:00
17,Very Happy with Product Quality,I have been using your product for three months and I am genuinely impressed with the quality. It has exceeded my expectations. I have already recommended it to several friends.,General,0.93,Positive,Closed,done,2024-01-17 15:00:00,2024-01-17 16:00:00
18,Account Showing Wrong Billing Address,My account is still showing an old billing address that I updated two months ago. This is causing issues with my invoices. Could you fix this and send updated invoices?,Billing,-0.35,Neutral,In Progress,pending,2024-01-18 11:00:00,2024-01-19 10:00:00
19,Product Stopped Working After One Week,I purchased your product one week ago and it has completely stopped working. I followed all the setup instructions carefully. I would like a replacement or a full refund.,Technical,-0.79,Negative,Pending,pending,2024-01-19 13:00:00,2024-01-20 08:00:00
20,Excellent Onboarding Experience,I just completed the onboarding and it was one of the smoothest experiences I have had with any software product. The step by step guidance was very clear and the support team was always responsive.,General,0.96,Positive,Closed,done,2024-01-20 10:00:00,2024-01-20 11:30:00
